Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
24.000000,-0.108300,0.356800,78.937800,2.216760,5.234835,-3.431830,-3.309175,-2.327011,2.504513,9.807376,-11.788320,1.124773,-5.530017,-4.060724,-1.171470,14.195660,-13.783416,3.624130,-2.037553,-0.965434,-1.868988,25.509685,81.271198,25.569674,68.223746,18.613050,26.561521,10.637363,31.045890,-87.195296,-46.442641,60.646437,-14.672361,23.928379,-3.230737
25.000000,-0.145700,0.373500,78.939400,2.216342,5.230803,-3.420786,-3.358621,-2.342309,2.496721,9.841524,-11.777033,1.141905,-5.570525,-4.076767,-1.176225,14.217661,-13.767603,3.633068,-2.029818,-0.963543,-1.851685,25.611672,80.979047,26.779532,67.914234,19.782972,26.599909,10.431613,30.950378,-86.910077,-47.208055,60.199415,-15.777252,24.047440,-2.879113
26.000000,-0.183200,0.386800,78.940900,2.216244,5.227637,-3.412236,-3.408641,-2.353997,2.490648,9.876818,-11.766490,1.155369,-5.614356,-4.088684,-1.178059,14.243845,-13.753394,3.637996,-2.022713,-0.962283,-1.835184,25.699793,80.686724,27.922124,67.622714,20.982459,26.623859,10.181746,30.813040,-86.655856,-47.842835,59.809689,-16.812071,24.145702,-2.527718
27.000000,-0.219900,0.396700,78.942300,2.216201,5.224670,-3.407472,-3.456712,-2.361503,2.487267,9.911368,-11.756406,1.165167,-5.658588,-4.096190,-1.176626,14.271118,-13.739814,3.639886,-2.016009,-0.961939,-1.819943,25.770381,80.396750,29.009025,67.348611,22.202000,26.636464,9.909305,30.631871,-86.434236,-48.380843,59.475769,-17.771948,24.201623,-2.223420
28.000000,-0.255200,0.403700,78.943800,2.215836,5.221053,-3.405144,-3.500887,-2.365685,2.485949,9.943568,-11.746322,1.172157,-5.699841,-4.100086,-1.172615,14.296443,-13.726866,3.639772,-2.009764,-0.962626,-1.806421,25.822005,80.106203,30.056392,67.089748,23.425208,26.635891,9.623686,30.414032,-86.240862,-48.840011,59.205333,-18.652698,24.204831,-1.965131
29.000000,-0.288700,0.408400,78.945200,2.213408,5.215899,-3.403738,-3.539447,-2.365514,2.485720,9.971872,-11.735837,1.176512,-5.735365,-4.099398,-1.166886,14.317241,-13.714260,3.636907,-2.003691,-0.965606,-1.794848,25.853517,79.813766,31.070986,66.844064,24.641883,26.621223,9.329243,30.169895,-86.075106,-49.237873,58.998152,-19.453751,24.186382,-1.737781
30.000000,-0.319900,0.410700,78.946700,2.210943,5.209288,-3.404083,-3.572678,-2.362821,2.484631,9.996337,-11.724665,1.178631,-5.763669,-4.096591,-1.161672,14.331107,-13.701598,3.632094,-1.998018,-0.970476,-1.785107,25.859648,79.524136,32.052691,66.609380,25.847559,26.597789,9.033883,29.912579,-85.930950,-49.591216,58.838010,-20.176881,24.159167,-1.523437
31.000000,-0.348800,0.411100,78.948300,2.208701,5.200871,-3.405709,-3.600066,-2.359669,2.482512,10.017479,-11.713549,1.179033,-5.783150,-4.092523,-1.157604,14.336206,-13.687962,3.625792,-1.992805,-0.976721,-1.777200,25.827791,79.234964,33.021792,66.382203,27.024013,26.579684,8.784818,29.652686,-85.806904,-49.909838,58.714996,-20.830454,24.132982,-1.313047
32.000000,-0.375600,0.409500,78.950000,2.207995,5.190563,-3.407650,-3.622583,-2.356518,2.480678,10.037247,-11.703580,1.178517,-5.793520,-4.087309,-1.153364,14.331107,-13.672263,3.618228,-1.988393,-0.983425,-1.770898,25.767516,78.941437,33.969636,66.159952,28.168439,26.560948,8.571048,29.399095,-85.700162,-50.195457,58.618567,-21.427132,24.113330,-1.105236
33.000000,-0.400400,0.406200,78.951900,2.208124,5.178790,-3.409807,-3.642522,-2.351934,2.478845,10.058790,-11.696074,1.176225,-5.796041,-4.081064,-1.149468,14.316955,-13.654558,3.609691,-1.984439,-0.990128,-1.766028,25.687703,78.650146,34.888890,65.946583,29.279920,26.541697,8.374638,29.159140,-85.606999,-50.446241,58.541103,-21.979635,24.107085,-0.900289
34.000000,-0.423500,0.401800,78.953800,2.208184,5.165746,-3.411759,-3.660799,-2.346262,2.476725,10.083140,-11.691490,1.173475,-5.792317,-4.074016,-1.145973,14.295985,-13.635536,3.600581,-1.980658,-0.995743,-1.762132,25.595171,78.365787,35.771875,65.747079,30.359372,26.523018,8.177024,28.936890,-85.525582,-50.660986,58.477562,-22.497761,24.118716,-0.699009
35.000000,-0.445200,0.396800,78.955600,2.205873,5.151478,-3.413608,-3.677988,-2.337553,2.474318,10.110471,-11.690001,1.170152,-5.783436,-4.064276,-1.143624,14.269457,-13.615139,3.591242,-1.976475,-1.000384,-1.758866,25.493929,78.089678,36.610399,65.565222,31.409203,26.502965,7.959702,28.725869,-85.457114,-50.855333,58.424965,-22.975951,24.148338,-0.501625
36.000000,-0.465800,0.391500,78.957500,2.200997,5.135748,-3.414797,-3.693401,-2.325865,2.471453,10.139863,-11.690516,1.166542,-5.768997,-4.051843,-1.142936,14.236913,-13.592564,3.581731,-1.971261,-1.003994,-1.755886,25.389020,77.833108,37.403945,65.404679,32.431474,26.473801,7.712929,28.523501,-85.392083,-51.034210,58.378670,-23.412660,24.179965,-0.311116
37.000000,-0.485800,0.386000,78.959500,2.192312,5.117474,-3.415506,-3.706177,-2.310051,2.467328,10.170746,-11.693037,1.162818,-5.745735,-4.035399,-1.144655,14.193024,-13.565120,3.571876,-1.964672,-1.006744,-1.752621,25.280617,77.606102,38.169360,65.274274,33.421889,26.453347,7.460369,28.330357,-85.323672,-51.194008,58.337646,-23.812298,24.200992,-0.130233
38.000000,-0.505900,0.380200,78.961100,2.184975,5.097733,-3.415262,-3.721418,-2.295269,2.462401,10.209077,-11.699168,1.159495,-5.727401,-4.019815,-1.145686,14.162256,-13.544035,3.561678,-1.957396,-1.008234,-1.747579,25.163905,77.399837,38.912429,65.172402,34.374546,26.452029,7.211419,28.149989,-85.258354,-51.340743,58.304357,-24.178017,24.199159,0.032773
39.000000,-0.526400,0.374800,78.962300,2.179475,5.079290,-3.414106,-3.739409,-2.282836,2.456843,10.248668,-11.705241,1.153593,-5.715999,-4.006751,-1.146603,14.142375,-13.528221,3.551995,-1.950406,-1.008979,-1.741333,25.042725,77.206980,39.628511,65.099121,35.292023,26.451284,6.971980,27.986696,-85.199855,-51.481518,58.285965,-24.512395,24.154812,0.168851
40.000000,-0.547300,0.370000,78.963300,2.175134,5.062012,-3.411962,-3.757744,-2.272408,2.451400,10.284650,-11.708450,1.147233,-5.708780,-3.996151,-1.148207,14.128165,-13.515330,3.543859,-1.944561,-1.009322,-1.734630,24.916617,77.028102,40.286897,65.041481,36.186983,26.459134,6.724405,27.847468,-85.154019,-51.609746,58.283043,-24.820417,24.086630,0.286021
41.000000,-0.568600,0.366000,78.964200,2.171335,5.044829,-3.407841,-3.777167,-2.263298,2.445957,10.320631,-11.710341,1.142134,-5.703623,-3.987442,-1.151588,14.117909,-13.504558,3.538244,-1.940264,-1.009666,-1.727697,24.767418,76.860741,40.911937,64.991749,37.033070,26.453347,6.470069,27.739522,-85.125371,-51.709384,58.297768,-25.112855,24.007447,0.397518
42.000000,-0.590200,0.363000,78.965100,2.168264,5.027589,-3.400127,-3.796991,-2.256136,2.438165,10.355811,-11.711372,1.138467,-5.698925,-3.980853,-1.156744,14.109659,-13.495333,3.534233,-1.937113,-1.009838,-1.720535,24.603438,76.705985,41.516235,64.944995,37.824783,26.406307,6.230630,27.678445,-85.116376,-51.751267,58.332260,-25.405751,23.927119,0.536288
43.000000,-0.612000,0.360800,78.965900,2.166022,5.009974,-3.389401,-3.815842,-2.251495,2.427278,10.388642,-11.711257,1.135774,-5.693768,-3.976900,-1.164823,14.101981,-13.487083,3.530738,-1.934878,-1.009895,-1.713144,24.472460,76.575924,42.055904,64.909701,38.622569,26.346891,6.054330,27.629629,-85.126517,-51.783066,58.374143,-25.671546,23.860484,0.642687
44.000000,-0.634100,0.359400,78.966700,2.165745,4.991681,-3.376080,-3.832801,-2.250521,2.411407,10.417805,-11.709653,1.133998,-5.687294,-3.976213,-1.175881,14.093501,-13.479119,3.527415,-1.933102,-1.009953,-1.705409,24.358499,76.463739,42.552200,64.880136,39.410730,26.294809,5.938306,27.554629,-85.148117,-51.866317,58.406687,-25.877868,23.817397,0.638619
45.000000,-0.656500,0.359500,78.967700,2.165766,4.972908,-3.361375,-3.846953,-2.253959,2.389635,10.440609,-11.703981,1.131764,-5.679387,-3.977645,-1.186080,14.082730,-13.470238,3.525352,-1.932071,-1.010067,-1.697158,24.237375,76.363299,43.043282,64.835331,40.151908,26.235852,5.876885,27.490687,-85.181750,-51.966756,58.425366,-26.056287,23.783535,0.589230
46.000000,-0.679400,0.361100,78.968800,2.165730,4.953703,-3.348171,-3.859959,-2.259631,2.365628,10.461178,-11.696762,1.130159,-5.671767,-3.980567,-1.194732,14.072245,-13.461300,3.524206,-1.932988,-1.010583,-1.688335,24.098490,76.277012,43.590113,64.778838,40.812299,26.165493,5.883303,27.473154,-85.227014,-52.046111,58.443127,-26.247540,23.743715,0.581667
47.000000,-0.703000,0.363400,78.969800,2.166128,4.934470,-3.332771,-3.872908,-2.266564,2.340590,10.480086,-11.688454,1.129644,-5.665063,-3.984750,-1.204816,14.062791,-13.452820,3.524722,-1.934764,-1.011729,-1.678996,23.959720,76.204246,44.192750,64.714265,41.396143,26.102926,5.881011,27.463300,-85.264714,-52.116814,58.450404,-26.440684,23.747439,0.601606
48.000000,-0.727600,0.366200,78.970800,2.167636,4.914377,-3.318716,-3.884195,-2.273210,2.320995,10.496701,-11.679172,1.129357,-5.660594,-3.989906,-1.213295,14.056660,-13.444970,3.526555,-1.936769,-1.013849,-1.669026,23.864838,76.146034,44.787824,64.642474,41.956783,26.011367,5.792260,27.431558,-85.285856,-52.163052,58.438487,-26.618531,23.781358,0.672767
49.000000,-0.753100,0.370300,78.971700,2.169788,4.893352,-3.308894,-3.893019,-2.279283,2.311541,10.509879,-11.668744,1.128154,-5.660708,-3.995636,-1.217192,14.058092,-13.439871,3.529878,-1.939118,-1.018318,-1.658484,23.838940,76.108906,45.309388,64.568333,42.564061,25.915970,5.643061,27.363490,-85.285341,-52.207571,58.408521,-26.756040,23.776144,0.781514
50.000000,-0.779400,0.375900,78.972000,2.173804,4.873106,-3.300591,-3.904707,-2.288565,2.301400,10.526266,-11.660035,1.127409,-5.667756,-4.003886,-1.217306,14.069895,-13.439699,3.534634,-1.940322,-1.025709,-1.647483,23.822726,76.074758,45.798121,64.482790,43.176037,25.815416,5.494035,27.264082,-85.268725,-52.250428,58.376779,-26.858428,23.722286,0.899085
51.000000,-0.806500,0.383100,78.971500,2.179588,4.853961,-3.293115,-3.929058,-2.300024,2.288565,10.565972,-11.663129,1.134972,-5.681449,-4.014773,-1.214212,14.092012,-13.444970,3.540421,-1.939863,-1.035850,-1.636367,23.790067,76.021702,46.248695,64.400170,43.771053,25.690855,5.327362,27.149491,-85.241452,-52.269851,58.347959,-26.951190,23.644593,0.986576
52.000000,-0.834000,0.393200,78.970300,2.186908,4.836026,-3.286473,-3.960342,-2.314520,2.276361,10.617252,-11.673213,1.147348,-5.700815,-4.028982,-1.208082,14.122837,-13.455341,3.548843,-1.938030,-1.047711,-1.625825,23.747554,75.949509,46.621003,64.333821,44.373690,25.548360,5.154844,27.027164,-85.204439,-52.248308,58.314269,-27.041603,23.553092,1.025251
53.000000,-0.862400,0.408700,78.968300,2.195931,4.819164,-3.285023,-4.001022,-2.334918,2.272637,10.685262,-11.692980,1.162188,-5.726885,-4.048921,-1.193929,14.161798,-13.469264,3.561448,-1.935738,-1.058769,-1.616199,23.669116,75.859154,46.966496,64.276869,44.949742,25.414345,5.040081,26.902546,-85.165879,-52.158411,58.275537,-27.133333,23.449272,1.020839
54.000000,-0.891700,0.431400,78.966000,2.206900,4.807282,-3.294193,-4.055166,-2.362362,2.281518,10.772008,-11.723633,1.185793,-5.756851,-4.076537,-1.169063,14.192566,-13.477514,3.583794,-1.933217,-1.065243,-1.606746,23.568390,75.740437,47.308609,64.231033,45.486661,25.307775,4.971727,26.781136,-85.141528,-51.990534,58.241274,-27.240992,23.340009,1.015109
55.000000,-0.922100,0.461600,78.963600,2.216761,4.802990,-3.311193,-4.121858,-2.393932,2.299853,10.868551,-11.760532,1.217764,-5.789624,-4.108279,-1.134972,14.208036,-13.476598,3.612957,-1.929321,-1.066217,-1.596432,23.447553,75.599776,47.643732,64.187029,45.989145,25.202465,4.927724,26.673305,-85.136200,-51.777738,58.208100,-27.380908,23.274692,1.066733
56.000000,-0.954000,0.499500,78.961000,2.225008,4.808497,-3.338293,-4.204765,-2.429112,2.327985,10.977929,-11.805051,1.258330,-5.829215,-4.143344,-1.089823,14.210671,-13.469035,3.649111,-1.924794,-1.061576,-1.582681,23.291250,75.456880,48.020338,64.186113,46.451808,25.031266,4.898273,26.551838,-85.137059,-51.591870,58.127141,-27.540993,23.263347,1.175595
57.000000,-0.987900,0.545400,78.958200,2.232997,4.825273,-3.366577,-4.308356,-2.470709,2.358867,11.102260,-11.856044,1.308521,-5.874594,-4.184884,-1.040663,14.197894,-13.453794,3.693630,-1.919810,-1.051148,-1.564519,23.076907,75.284878,48.434070,64.153282,46.849670,24.915242,4.867105,26.385222,-85.118839,-51.502030,57.918585,-27.656272,23.291250,1.241943
58.000000,-1.025200,0.600100,78.955100,2.239346,4.845412,-3.398653,-4.427359,-2.518379,2.392786,11.246531,-11.914715,1.369197,-5.921576,-4.232840,-0.986920,14.175492,-13.432193,3.748519,-1.916658,-1.034590,-1.546585,22.824691,75.064404,48.849981,64.013251,47.200320,24.736078,4.793250,26.175806,-85.049798,-51.519162,57.530119,-27.702624,23.241288,1.151301
59.000000,-1.066500,0.664300,78.951300,2.244000,4.871029,-3.437013,-4.563380,-2.572294,2.430315,11.410741,-11.982152,1.441505,-5.978070,-4.287844,-0.926759,14.152917,-13.405895,3.820998,-1.914137,-1.012359,-1.530771,22.663231,74.855160,49.077158,63.809164,47.727556,24.757564,4.493994,26.054454,-84.914121,-51.544601,56.940259,-27.783125,23.058858,0.881266
60.000000,-1.114300,0.739500,78.946000,2.234620,4.912287,-3.464773,-4.736356,-2.624548,2.454723,11.603713,-12.058298,1.527162,-6.061951,-4.342161,-0.876396,14.147016,-13.379825,3.913359,-1.909038,-0.995285,-1.514786,22.490599,74.706993,49.149236,63.489281,48.403417,24.834283,4.278448,26.076398,-84.704763,-51.484555,56.069764,-27.981024,23.084011,0.869979
61.000000,-1.171800,0.827100,78.938300,2.198031,4.971839,-3.463535,-4.966742,-2.665801,2.447504,11.848481,-12.150086,1.626226,-6.181642,-4.386794,-0.854223,14.171653,-13.358797,4.023195,-1.901303,-1.000270,-1.495420,22.058646,74.623055,49.309894,63.139376,49.023587,24.817380,4.168726,26.121318,-84.211675,-51.569697,54.589643,-28.060493,22.808533,0.922634
62.000000,-1.242700,0.924600,78.927900,2.156885,5.049724,-3.428008,-5.267602,-2.717482,2.409746,12.162462,-12.262443,1.737437,-6.342585,-4.443631,-0.859494,14.233647,-13.346765,4.148787,-1.899069,-1.025938,-1.467001,21.388228,74.516313,49.285715,62.711892,49.753420,24.858461,4.299819,26.329473,-83.184763,-51.158886,51.861275,-28.051269,21.979635,1.082546
63.000000,-1.329200,1.032200,78.915000,2.114844,5.153447,-3.358277,-5.639853,-2.784861,2.340303,12.526977,-12.386087,1.859248,-6.547819,-4.516741,-0.892210,14.318903,-13.335421,4.288876,-1.908293,-1.069139,-1.421909,20.230395,74.219005,49.187968,62.102036,50.418166,24.809531,4.559655,26.420688,-81.432028,-50.395019,47.870337,-27.875829,21.509008,0.018908
64.000000,-1.434200,1.148100,78.896700,2.064342,5.286548,-3.245013,-6.127153,-2.857226,2.231499,13.017487,-12.554136,1.987247,-6.808973,-4.595064,-0.958673,14.445928,-13.341494,4.433490,-1.940035,-1.131133,-1.348857,18.942042,73.478801,48.281263,61.237042,51.563337,24.672766,4.196056,26.676800,-78.739470,-48.726222,42.568186,-27.581787,19.721666,-1.344388
65.000000,-1.561900,1.273300,78.868600,2.021399,5.441829,-3.110599,-6.770413,-2.948040,2.108427,13.739184,-12.823941,2.129111,-7.153321,-4.691894,-1.030579,14.662391,-13.382575,4.583949,-1.997961,-1.192784,-1.237360,17.132469,71.996731,46.815293,59.523268,52.920502,24.426738,4.550946,26.636579,-75.039652,-46.538955,36.517007,-26.848459,17.406802,-2.477813
